piece_id,barre_ratio,avg_chord_stretch,max_chord_stretch,avg_position_shift,fret_change_rate,avg_fret,p90_fret,high_position_ratio,open_string_ratio,p90_chord_stretch,shift_rate,max_position_shift,std_position_shift,fret_entropy,max_avg_chord_stretch_window,p95_position_shift_window,avg_stretch_velocity_beats,p90_stretch_velocity_beats,avg_position_shift_speed_beats,max_position_shift_speed_beats,arpeggio_density,avg_string_jump,max_string_jump,string_entropy,chord_ratio,polyphonic_arpeggio_intensity_beats,avg_polyphony,total_notes,tempo_bpm,log_total_notes,repetition_ratio,max_note_density_window,true_label,predicted_label
Le Petit-Rien (Rondeau)||Francois Couperin,0.53325415,-0.7895876,0.12324779,0.60694295,0.27911738,-0.4630966,-0.8000996,0.025767619,0.6244421,-0.43473873,-0.11551453,-0.15154974,0.6043268,-0.84666353,-0.39920574,0.88241106,-0.4891917,-0.53879166,0.9006424,0.10204736,-0.4468334,0.072223045,-0.74762833,0.69529027,-0.38508928,0.65883195,0.19791818,-0.90099776,-0.8386986,-0.9267624,0.44441324,0.3311247,3,1
Mazurka; Op. 24 no. 1||Frederic Chopin,0.50343937,-0.795754,0.1876391,0.67749166,0.061465345,-0.19712317,-0.75036234,0.07262832,0.40219396,-0.5587727,0.8979166,0.47986722,0.3578809,-0.1492319,-0.31344995,0.830794,-0.50948036,-0.6361623,0.41577992,0.9165932,-0.40027845,0.29491764,-0.48872474,0.21499608,-0.4415407,0.9635974,-0.10649846,-0.29625073,-0.55808955,0.1311465,0.48312664,0.35587934,4,4
Mazurka; Op. 33 no. 1||Frederic Chopin,0.49974006,-0.7991735,0.1876391,0.7297531,0.17294428,-0.07367919,-0.75806755,0.106526434,0.69053525,-0.4993095,0.9506797,0.39368027,0.27037042,-0.2527619,-0.30547005,0.821733,-0.5071271,-0.58961517,0.83477414,0.4463566,-0.42320165,0.22799131,-0.74762833,0.25788996,-0.25436965,0.8655614,-0.0746527,-0.79904485,-0.5937201,-0.5877703,0.3739832,0.3352079,4,3
Minueto en Si Mayor||Agustin Barrios Mangore,0.53325415,-0.8038432,0.25045702,0.66846716,0.29177606,-0.0720224,-0.75806755,0.07802361,0.9304683,-0.43473873,0.56215656,0.60473895,0.39522985,-0.10772525,-0.2973512,0.82067007,-0.59737724,-0.7818835,0.7166581,0.8093212,-0.4575447,0.02630479,-0.74762833,0.4472158,0.56646633,0.79858834,0.25359666,-0.6839267,-0.8386986,-0.31850407,0.44332215,0.34198537,3,5
Moderato||Dionisio Aguado,0.53325415,-0.78757894,0.12324779,0.55983967,0.13868289,-0.5247056,-0.8000996,0.025767619,-0.09364416,-0.36536545,-0.9151192,-0.253725,0.6513722,-0.8784037,-0.27604237,0.8230538,-0.52535045,-0.6361623,0.7933917,0.517026,-0.3858063,0.47018299,-0.82875335,-0.772024,-0.45527187,0.7555443,-0.07764703,-0.92002743,-0.97943646,-0.98023206,0.3705544,0.3401815,0,0
"Moderato, Op. 39 no. 15||Anton Diabelli",0.53325415,-0.7755429,-0.008145033,0.6754824,0.59966224,-0.4567625,-0.7994555,0.025767619,0.50801194,-0.13426557,0.37180036,0.060527515,0.59883356,-0.797029,-0.50947064,0.8785597,-0.4425149,-0.42452785,0.86245966,0.11570296,-0.44901663,-0.46478656,-0.30751386,-0.33652762,0.8303839,0.36137605,0.42181835,-0.912877,-0.8386986,-0.96250916,0.38404477,0.3247483,0,1
Moonlight Sonata||Ludwig van Beethoven,0.53325415,-0.8070557,0.88052374,0.69104075,0.13302611,-0.12201264,-0.75806755,0.055936996,0.75466734,-0.5587727,0.0066386084,0.9539453,-0.6408249,-0.003318238,0.9824498,0.44679672,-0.5757687,-0.8466555,-0.9018201,0.9998855,-0.4487224,-0.19764993,-0.48872474,0.16829924,0.8275305,0.85388345,0.41460434,0.79941165,-0.14889929,0.66559285,0.61313725,0.36343285,5,6
Oracion por Todos||Agustin Barrios Mandore,0.53325415,-0.7915676,0.1876391,0.63685024,0.18219902,-0.08660795,-0.75806755,0.08565907,0.8607496,-0.43473873,0.20158984,0.5698178,0.36860377,0.0081231,-0.14309329,0.8149952,-0.5583459,-0.7818835,0.74772745,0.47537628,-0.3858063,-0.5531234,-0.63572717,0.019064292,-0.7843637,0.9849329,0.08535089,-0.71126115,-0.39414945,-0.3725076,0.44781467,0.35721576,2,3
Oriental||Isaac Albeniz,0.5122601,-0.8053272,0.3112345,0.61319524,0.070492454,0.30935892,-0.7343202,0.1316625,0.93241954,-0.5587727,0.0032142885,0.72300494,0.32277626,0.33394456,0.04164155,0.75733435,-0.79578006,-0.99321216,0.42369705,0.992384,-0.40480712,0.2889636,-0.48872474,0.6653465,0.06603666,0.9814746,0.12691121,0.94405836,-0.43823242,0.76651365,0.56289524,0.37445453,6,6
"Partita for Lute, BWV 997: Sarabande||J.S. Bach",0.5291266,-0.7938249,0.25045702,0.6481363,0.2789542,-0.42658725,-0.7868644,0.029992154,0.5410807,-0.43473873,0.5834074,0.29996762,0.4849544,-0.6088682,-0.14309329,0.82952565,-0.5577775,-0.7818835,0.7525063,0.38544255,-0.44170234,0.021753276,-0.48872474,0.65200937,0.15498473,0.9380105,0.19937347,-0.6718529,-0.14889929,-0.2962208,0.42268074,0.35186145,3,4
