piece_id,barre_ratio,avg_chord_stretch,max_chord_stretch,avg_position_shift,fret_change_rate,avg_fret,p90_fret,high_position_ratio,open_string_ratio,p90_chord_stretch,shift_rate,max_position_shift,std_position_shift,fret_entropy,arpeggio_density,avg_string_jump,max_string_jump,string_entropy,chord_ratio,avg_polyphony,total_notes,tempo_bpm,log_total_notes,repetition_ratio,true_label,predicted_label
Allegro||W. A. Mozart,0.7105439,-0.786764,0.07783385,0.7709822,0.49531013,-0.49649173,-0.80857956,0.030131828,0.5759902,-0.4029485,0.84013224,0.6796678,0.64195675,-0.84998065,0.09870868,0.89653397,-0.91058177,-0.9648095,0.06781851,0.70532054,-0.88315433,-0.91211253,-0.9636157,0.77804196,1,0
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 1. Cadenze||Mauro Giuliani",0.7105439,-0.8034447,-0.12414946,0.7122024,0.8031937,-0.59833634,-0.81057525,0.030131828,0.45463222,-0.18140107,0.6379634,0.6479143,0.71001285,-0.9155947,0.16323186,-0.29301414,-0.78214186,-0.7409347,0.96959,0.7751739,-0.9013375,-0.7743867,-0.9811742,0.7125937,0,0
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 13. Capricie||Mauro Giuliani",0.7105439,-0.7948449,0.07783385,0.9916889,0.7094498,-0.22811423,-0.7983171,0.24700736,0.16224638,-0.4029485,0.87042534,0.95183176,-0.8512331,-0.24861282,0.10539921,-0.25754166,-0.0905043,-0.89129895,0.9535257,0.7661133,-0.53233737,-0.9880591,-0.45440868,0.73729575,3,1
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 15. Rondo||Mauro Giuliani",0.7105439,-0.77574545,0.07783385,0.8940325,0.656504,-0.5110828,-0.81057525,0.08362567,0.23582773,-0.18140107,0.65833074,0.95183176,-0.3151267,-0.8258076,0.16847478,-0.7990805,-0.0905043,-0.76885617,0.94729483,0.7662908,-0.47550997,-0.91211253,-0.38307333,0.72458977,1,1
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 22. Preludi||Mauro Giuliani",0.71064955,-0.8966376,0.90469295,0.87896425,0.7382498,-0.40845698,-0.81057525,0.13109255,0.90968937,-0.9723291,0.70244706,0.9399139,0.14317426,-0.85097736,0.16571501,-0.66737384,-0.78214186,-0.9956061,0.96228635,0.7703581,-0.7988769,-0.7743867,-0.847186,0.7504867,1,1
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 7. Cadenze||Mauro Giuliani",0.710615,-0.75087976,-0.316343,0.58458364,0.5816153,-0.39006484,-0.80857956,0.030131828,0.9174612,0.060228854,0.5206869,0.7090631,0.6646816,-0.8907984,0.18897119,-0.7030012,-0.78214186,-0.99862087,0.9706955,0.77599734,-0.6631676,-0.85796285,-0.6368686,0.70739746,1,1
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 9. Cadenze||Mauro Giuliani",0.71064717,-0.75087976,-0.316343,0.57687026,0.6519707,-0.2786492,-0.8045318,0.030131828,0.9362517,0.060228854,0.3643628,0.6479143,0.70479554,-0.49161738,0.18897119,-0.32175058,-0.78214186,-0.9708833,0.97045255,0.77563244,-0.8054373,-0.96731234,-0.8572873,0.70739746,1,1
Carora (Valse Venezolano)||Antonio Lauro,0.7115163,-0.7893185,0.4490913,0.87082696,0.60653627,-0.114480145,-0.79620683,0.3625081,0.71970314,-0.4029485,0.8484141,0.8845939,0.30401596,0.72627074,0.12453854,-0.033293754,-0.0905043,-0.17785047,0.8150817,0.73320186,-0.71291333,-0.9880591,-0.712604,0.7125937,6,5
Estudios Sencillos: V||Leo Brouwer,0.7105439,-0.878971,0.5956297,0.7847125,0.5518998,-0.4373054,-0.8045318,0.15460072,0.4978926,-0.82050556,0.87598276,0.7229023,0.5076569,-0.73961234,0.13871612,-0.78147244,-0.5159525,-0.81957537,0.8054823,0.74622303,-0.8741696,-0.6792337,-0.9534508,0.79070175,0,0
Estudios Sencillos: X||Leo Brouwer,0.7105439,-0.75087976,-0.316343,0.79176277,0.74940366,-0.53338593,-0.80857956,0.04382381,0.48720482,0.060228854,0.69477844,0.95183176,0.13078235,-0.7615229,0.032261427,0.7460685,-0.0905043,-0.48822063,0.9614721,0.7702816,-0.85705525,-0.65087426,-0.9320135,0.73075366,2,2
Estudios Sencillos: XII||Leo Brouwer,0.7105439,-0.80512565,0.2736236,0.7758905,0.58072853,-0.58166206,-0.81057525,0.030131828,0.16863373,-0.4029485,0.81006247,0.7090631,0.6324608,-0.80863756,0.18897119,-0.481142,-0.5159525,-0.895718,0.7287725,0.72869396,-0.90568227,-0.4795766,-0.9846553,0.70739746,1,0
Estudios Sencillos: XIX||Leo Brouwer,0.71324384,-0.7994157,0.2736236,0.6750723,0.25020888,-0.4367623,-0.8065651,0.10119657,0.44463572,-0.4029485,0.69539005,0.7318183,0.71348584,-0.6528144,0.18897119,0.9610476,-0.78214186,-0.77379745,-0.40182686,0.512886,-0.31425935,-0.7743867,-0.20344585,0.75890225,3,1
Folias||Gaspar Sanz,0.7105439,-0.7885892,0.07783385,0.74016476,0.6770149,-0.5769745,-0.81057525,0.030131828,0.35938478,-0.4029485,0.7082846,0.68972445,0.6968654,-0.9043995,0.040629737,0.85515845,-0.5159525,-0.99305075,0.8346136,0.73965263,-0.7010815,-0.91211253,-0.6943318,0.709841,1,1
"Goldberg Variations, BWV 988: Variatio 18||J.S. Bach",0.7105439,-0.7881161,0.4490913,0.80208665,0.5964792,-0.37714767,-0.8065651,0.15394042,0.5939625,-0.4029485,0.87147415,0.7947147,0.59062284,-0.22889103,0.033134107,0.9165193,-0.5159525,0.061891858,0.098987676,0.7095644,-0.7717024,-0.65087426,-0.8047554,0.70739746,5,3
