piece_id,barre_ratio,avg_chord_stretch,max_chord_stretch,avg_position_shift,fret_change_rate,avg_fret,p90_fret,high_position_ratio,open_string_ratio,p90_chord_stretch,shift_rate,max_position_shift,std_position_shift,fret_entropy,max_avg_chord_stretch_window,p95_position_shift_window,avg_stretch_velocity_beats,p90_stretch_velocity_beats,avg_position_shift_speed_beats,max_position_shift_speed_beats,arpeggio_density,avg_string_jump,max_string_jump,string_entropy,chord_ratio,polyphonic_arpeggio_intensity_beats,avg_polyphony,total_notes,tempo_bpm,log_total_notes,repetition_ratio,max_note_density_window,true_label,predicted_label
Carora (Valse Venezolano)||Antonio Lauro,0.8005331,-0.9230705,0.003630144,0.8798095,0.6911853,-0.6573926,-0.9994145,0.41454944,0.9732039,0.58874923,0.9178633,0.97356176,0.7419177,-0.7747808,-0.4154909,0.9079394,-0.62993485,-0.7384074,0.7750252,0.9186712,0.8586827,-0.86269945,-0.54389864,-0.14088748,0.56333965,0.5924495,0.35357338,-0.4777759,-0.87052745,-0.5996643,0.375797,0.24289298,13,14
Estudios Sencillos: V||Leo Brouwer,0.5700743,0.6542324,0.057876825,0.92381907,0.68105906,-0.8305163,-0.9035394,0.38693285,0.6722324,-0.9794926,0.9285735,-0.044141915,0.5422939,-0.9891715,-0.35327935,0.28063405,-0.99667764,-0.88691396,0.77661365,0.9175192,0.8970608,-0.992985,-0.59740007,-0.9596571,0.5560615,0.68670934,0.31976902,-0.58883566,-0.76319414,-0.8131293,0.64235926,0.13352412,2,2
Estudios Sencillos: X||Leo Brouwer,0.5700743,-0.98233056,-0.21042451,0.87602234,0.71559626,-0.8736459,-0.2000332,0.3727618,0.3473783,0.9900569,0.91000515,0.9999693,0.9729252,-0.99081147,-0.46950096,0.9999921,-0.061118506,-0.52650595,0.8699112,0.89625597,0.17072858,0.2806465,-0.54389864,-0.6513158,0.73122716,0.5716331,0.25659078,-0.5667728,-0.7590936,-0.76719165,0.510444,0.13352412,5,14
Estudios Sencillos: XII||Leo Brouwer,0.801177,-0.8525001,-0.05063791,0.9634002,0.68631464,-0.8879797,0.4148319,0.37111455,-0.5213105,0.58874923,0.8757685,-0.6176934,-0.117564775,-0.9919027,-0.38357687,-0.6257355,-0.64107764,-0.6987074,0.6818078,0.94399583,0.96807855,-0.96669185,-0.59740007,-0.9862076,0.504906,0.5555826,0.3647514,-0.62172353,-0.73766273,-0.8836068,0.35739225,0.28975567,4,0
Estudios Sencillos: XIX||Leo Brouwer,0.9260486,-0.88368005,-0.05063791,0.9526169,0.63283294,-0.8302798,-0.6894819,0.38012657,0.50885004,0.58874923,0.909514,0.012253505,-0.0087018795,-0.9856227,-0.418508,-0.48524892,-0.69125444,-0.7230891,0.70845777,0.9394626,0.96807855,0.9328172,-0.6460644,-0.9365895,0.04331047,0.9975336,0.6956027,-0.3155631,-0.7789964,-0.36338392,0.53739846,-0.23933983,7,8
Folias||Gaspar Sanz,0.58877796,-0.92530525,-0.10460857,0.942522,0.70516217,-0.8863446,0.4148319,0.37111455,0.19733459,0.58874923,0.8768718,-0.50201225,0.053689122,-0.99565226,-0.4130706,-0.5594978,-0.38022396,-0.6349663,0.70646346,0.94399583,0.28291813,0.58078533,-0.59740007,-0.9999177,0.5798086,0.3635149,0.33673498,-0.47083703,-0.8145127,-0.587851,0.37457895,0.36841923,3,3
"Goldberg Variations, BWV 988: Variatio 18||J.S. Bach",0.61775565,-0.92831814,0.003630144,0.8937384,0.67932165,-0.80272603,-0.6894819,0.38701564,0.83689976,0.58874923,0.92466,0.28615892,0.38281834,-0.9616965,-0.43002883,0.45653054,-0.5584722,-0.7230891,0.7541024,0.9345747,0.091577955,0.845254,-0.59740007,0.3800651,0.20707382,0.6658272,0.41589803,-0.49147594,-0.7590936,-0.6235061,0.5241065,0.2547253,10,13
Lesson 15: Waltz||Dionisio Aguado,0.6875599,-0.6494986,-0.05063791,0.950943,0.6797168,-0.84571993,-0.6894819,0.37111455,0.90256095,-0.3014697,0.8861195,-0.50201225,-0.0643991,-0.982442,-0.41530493,-0.43695608,-0.97579247,-0.8462748,0.7681148,0.92363095,0.13926855,0.6524986,-0.6460644,-0.724778,0.4786589,0.8933221,0.41917354,-0.61841714,-0.7485736,-0.8764794,0.47233474,0.046000417,1,1
Twenty-one Lessons: 18||Dionisio Aguado,0.6659213,-0.9318334,-0.10460857,0.9723874,0.6221522,-0.91798824,0.79527897,0.37111455,-0.99907625,0.7029592,0.87367016,-0.6513797,-0.2808344,-0.9984801,-0.43606114,-0.6257355,-0.6529815,-0.7230891,0.6915283,0.94399583,0.96807855,0.89833474,-0.6460644,-0.999981,-0.08696272,0.9878736,0.5552873,-0.5036017,-0.7789964,-0.64519256,0.8220044,-0.34309274,3,1
Twenty-one Lessons: 19||Dionisio Aguado,0.5700743,-0.98233056,-0.21042451,-0.7702064,0.72563225,-0.5877355,-1.0,0.40403232,-0.44006371,0.9900569,0.9378725,0.9999693,0.9999996,-0.9952467,-0.46950096,0.99999845,-0.061118506,-0.52650595,0.9734286,-0.8923386,0.9264935,-0.90478504,-0.6460644,-0.99999905,0.7641048,0.48044854,0.23054712,-0.6206239,-0.8145127,-0.88123673,0.564625,0.23098797,1,1
"Caprice, Op. 20 no. 2||Luigi Legnani",0.6869022,-0.93722194,-0.05063791,0.89922667,0.6641671,-0.8274788,-0.97244203,0.39517215,-0.90907055,0.58874923,0.9043922,0.99993956,0.89528155,-0.97528994,-0.4130706,0.982127,-0.76924646,-0.7230891,0.8318203,0.89625597,0.8601783,-0.4964839,-0.59740007,-0.90253747,0.42993817,0.9658017,0.4413081,-0.34428257,-0.8145127,-0.39985085,0.5759376,-0.38681316,7,8
Estudio 10||Fernando Sor,0.64368594,-0.7383795,-0.05063791,0.9575149,0.6298044,-0.6418378,-0.99787813,0.42454475,0.9250725,-0.3014697,0.9073668,0.81466573,0.3917885,-0.91491705,-0.4130706,0.45653054,-0.7352408,-0.7230891,0.7869304,0.92363095,-0.639796,0.7245766,-0.54389864,-0.99104464,0.59069824,0.74753314,0.37687445,-0.30909938,-0.72635245,-0.3554423,0.9430449,0.046000417,5,9
Estudio 19||Fernando Sor,0.5700743,-0.98233056,-0.21042451,0.89890975,0.7133732,-0.7580261,-0.9035394,0.38414693,0.99985176,0.9900569,0.90552616,0.948623,0.35215384,-0.95807683,-0.4130706,0.45653054,-0.7352408,-0.7230891,0.7869304,0.92363095,0.9645922,-0.99985534,-0.54389864,-0.87094444,0.7641048,0.74753314,0.23054712,-0.226046,-0.66354024,-0.2610732,0.36429685,0.046000417,6,11
Fortune||John Dowland,0.6347829,-0.96790826,-0.10460857,0.9512017,0.68220145,-0.9026115,0.4148319,0.37111455,-0.78694034,0.87790793,0.88163346,-0.50201225,0.024843885,-0.9966575,-0.43606114,-0.3142713,-0.21336901,-0.6349663,0.70281327,0.94399583,0.5777476,0.59799284,-0.6460644,0.14926803,0.46357295,0.52348995,0.42613608,-0.6200731,-0.8145127,-0.8800495,0.3885561,0.36841923,7,6
Gavotte No. 1 (from Lute Suite No. 3); BWV 995||J.S. Bach,0.62911487,-0.9525323,-0.10460857,0.9309248,0.7187442,-0.87633693,0.4148319,0.37394187,0.5541857,0.9305712,0.88958436,0.43305564,0.14882341,-0.9880404,-0.44172257,-0.3142713,-0.4522977,-0.6349663,0.7374071,0.94399583,0.5230234,0.7214386,-0.6460644,-0.9762838,0.57306015,0.4762072,0.31404456,-0.2680707,-0.9104612,-0.3071324,0.35739225,0.33526906,10,12
"Grand Ouverture, Op. 61||Mauro Giuliani",0.6574485,-0.850872,-0.05063791,0.90978533,0.69496155,-0.7425748,-0.99787813,0.39903936,0.95671767,-0.3014697,0.91677964,0.9587894,0.41636506,-0.87913543,-0.38357687,0.7884653,-0.8295517,-0.7926363,0.8544927,0.8597835,0.86608434,-0.9943229,-0.54389864,-0.19287582,0.66207266,0.64988697,0.31135997,0.9928856,-0.7049618,0.719283,0.5948374,-0.3092842,12,15
"Los Panaderos, Bolero||Julian Arcas",0.66230285,-0.88515407,-0.10460857,0.9227141,0.69449097,-0.77538896,-0.99232537,0.40111554,0.71116096,0.58874923,0.9030008,0.81466573,0.48330212,-0.92818874,-0.4130706,0.47257018,-0.73548084,-0.7230891,0.790052,0.92363095,0.75934124,-0.85677767,-0.54389864,-0.42180154,0.6242639,0.70613575,0.3334915,-0.33636653,-0.7974443,-0.38960126,0.5303209,0.08367678,9,10
Luisito (Minueto)||Agustin Barrios Mandore,0.8122877,-0.7207292,-0.05063791,0.780196,0.69894814,-0.56707853,-0.99232537,0.40600374,0.9999288,-0.3014697,0.944399,0.52011764,0.29286402,-0.8863912,-0.4130706,0.2036624,-0.9440253,-0.8462748,0.88718516,0.89625597,0.08382485,0.8329442,-0.59740007,-0.5613312,0.5134012,0.84614605,0.37556785,-0.55758786,-0.73766273,-0.7485331,0.35739225,-0.029638395,6,8
The Prince's Toys: The Mechanical Monkey||Nikita Koshkin,0.87258106,-0.8369181,0.003630144,0.87944657,0.67712504,-0.572825,-0.9994145,0.4192766,0.99496895,0.58874923,0.919456,0.999881,0.81302,-0.66093695,-0.4130706,0.45653054,-0.7352408,-0.7230891,0.7869304,0.92363095,0.24470106,0.67729765,-0.54389864,0.5806755,0.5381729,0.74753314,0.38563073,-0.05537683,-0.8145127,-0.1015726,0.6634026,0.046000417,14,18
The Prince's Toys: The Mischievous Prince||Nikita Koshkin,0.8271935,-0.84081537,-0.05063791,0.723675,0.66573423,-0.5181488,-0.99787813,0.4279227,0.9989918,0.58874923,0.95031077,0.84928924,0.7392524,-0.74547225,-0.4130706,0.45653054,-0.7352408,-0.7230891,0.7869304,0.92363095,-0.11589401,0.93196106,-0.59740007,-0.89015216,0.279492,0.74753314,0.51326096,-0.44752416,-0.73766273,-0.54941326,0.4254014,0.046000417,11,13
The Prince's Toys: The Tin Soldiers||Nikita Koshkin,0.98027456,-0.974139,0.003630144,0.96853364,0.6061337,-0.36283273,-0.99787813,0.4263464,0.9982439,0.9305712,0.8877755,0.7235468,0.09693977,-0.9567453,-0.4130706,0.24252978,-0.320728,-0.6349663,0.7269087,0.93128407,-0.17674665,0.99154824,-0.6899881,0.23379481,-0.12302079,0.9773619,0.54593074,0.561382,-0.83027875,0.30213603,0.9641174,-0.91474724,15,17
"24 Caprices, Op. 1: 24||Niccolo Paganini",0.5700743,-0.9575031,-0.10460857,0.94944555,0.6923262,-0.8681221,-0.2000332,0.37168056,0.70488715,0.89866894,0.89592516,-0.50201225,0.10217471,-0.98365045,-0.44172257,-0.3142713,-0.721107,-0.7529997,0.8572362,0.8597835,-0.026558828,0.73638105,-0.54389864,-0.70476246,0.70567673,0.7737742,0.26109016,-0.50426966,-0.8145127,-0.6464033,0.7962719,-0.32064602,18,4
