piece_id,barre_ratio,avg_chord_stretch,max_chord_stretch,avg_position_shift,fret_change_rate,avg_fret,p90_fret,high_position_ratio,open_string_ratio,p90_chord_stretch,shift_rate,max_position_shift,std_position_shift,fret_entropy,max_avg_chord_stretch_window,p95_position_shift_window,avg_stretch_velocity_beats,p90_stretch_velocity_beats,avg_position_shift_speed_beats,max_position_shift_speed_beats,arpeggio_density,avg_string_jump,max_string_jump,string_entropy,chord_ratio,polyphonic_arpeggio_intensity_beats,avg_polyphony,total_notes,tempo_bpm,log_total_notes,repetition_ratio,max_note_density_window,true_label,predicted_label
24 Piezas Sudamericanas: 24. Milonga||Jorge Cardoso,0.6030296,-0.73686385,0.17136502,0.7021181,0.38511068,-0.37401867,-0.6919521,0.035676654,0.49941278,-0.4894104,0.3638965,0.46284094,0.5581764,-0.30809268,-0.33395758,0.76014465,-0.5867177,-0.78466386,0.8173754,0.61469394,-0.5946386,-0.8513648,-0.27799392,0.55101264,0.6378772,0.7634016,0.12732674,-0.64029366,-0.3874783,-0.28281972,0.43450624,0.48410898,3,4
24 Piezas Sudamericanas: 8. Polo Margariteno||Jorge Cardoso,0.61676425,-0.7287686,0.17136502,0.84794056,0.37657112,-0.37795082,-0.6919521,-0.046079017,0.7917746,-0.4894104,0.7359288,0.9741275,-0.57482934,-0.4422788,-0.21436,0.9205535,-0.49254745,-0.6853713,0.8127396,0.77855104,-0.5650991,-0.8321501,-0.27799392,0.8494324,0.74097496,0.55936027,0.10323453,-0.33161718,-0.9614918,0.14327243,0.45427716,-0.10884428,5,4
A Fancy||John Dowland,0.6128921,-0.7268492,0.25926822,0.70820093,0.3807615,-0.59529454,-0.6958731,-0.1095097,0.30737993,-0.4894104,0.19927572,0.1158378,0.6197814,-0.6260145,-0.291469,0.7428545,-0.5225936,-0.6853713,0.8491287,0.48682642,-0.43392256,-0.4988651,-0.27799392,0.63706535,0.44490555,0.72816193,0.16477841,-0.31712115,-0.4727388,0.15694939,0.44430694,0.26979923,6,3
A mi madre (Sonatina)||Agustin Barrios Mangore,0.60580134,-0.7596818,0.25926822,0.8009609,0.34352073,0.38961345,-0.6819689,0.4040441,0.8412289,-0.5878362,0.8524294,0.9666925,-0.12224467,0.139868,-0.21436,0.90923625,-0.6880903,-0.90402704,0.6864475,0.9270265,-0.46987143,-0.64851904,-0.27799392,0.46888816,0.75771904,0.63794094,0.12342885,0.5624571,-0.5287594,0.6508767,0.54076153,0.3603806,5,7
Adagio from Pathetique Sonata||Ludwig van Beethoven,0.47741422,-0.74292964,0.34307608,0.71423495,0.32212788,-0.19051963,-0.68798995,0.07524922,0.87638736,-0.5878362,0.6250138,0.35638067,0.5542328,-0.16155379,-0.26612878,0.73289907,-0.6653113,-0.8553815,0.70745313,0.75866985,-0.42955533,-0.47925675,-0.4886661,0.47365662,-0.14020959,0.96628195,0.2671673,0.4882907,-0.7884547,0.6201289,0.5104941,0.9844464,5,6
Aires Andaluces||Agustin Barrios Mandore,0.5766472,-0.75472593,0.4945585,0.70545703,0.32595596,0.10364335,-0.6859934,0.21361144,0.80777204,-0.5878362,0.47103807,0.88496816,0.4829786,0.0057749106,-0.15466027,0.7816286,-0.6279349,-0.82314754,0.823088,0.71676993,-0.37649903,-0.5218271,-0.38839334,0.41510418,0.44154975,0.7581663,0.2181151,0.9822335,-0.97131014,0.8865124,0.54344106,0.7231715,6,7
Aires Mudejares||Agustin Barrios Mandore,0.67042196,-0.68464845,-0.10331066,0.74942374,0.41403633,-0.0057416526,-0.68798995,0.29716522,0.53219146,-0.2516256,0.6347135,0.35638067,0.51088,-0.17065792,-0.4341821,0.77244514,-0.43176666,-0.5517928,0.72636473,0.61469394,-0.53833675,-0.72246855,-0.27799392,-0.20819715,0.8785768,0.667018,0.05674628,-0.8832836,-0.8939962,-0.9418999,0.45876598,0.22252332,5,3
"Allegretto, Op. 38 no. 13||Napoleon Coste",0.51219594,-0.745196,0.62096804,0.72008413,0.32673678,-0.64396477,-0.6997529,-0.1286547,0.08382724,-0.4894104,0.46763358,0.5574374,0.4122606,-0.64173275,0.21833873,0.80609417,-0.50795573,-0.6853713,0.884538,0.48682642,-0.46900967,-0.4180901,-0.4886661,0.58001125,-0.067073695,0.74579877,0.32682973,-0.55740654,-0.8779275,-0.13458572,0.4710048,0.22252332,2,3
"Allegretto, Op. 60 no. 8||Fernando Sor",0.67042196,-0.7221657,0.08064605,0.6525789,0.3786968,-0.73651844,-0.6997529,-0.16729365,-0.5728096,-0.4894104,-0.39259085,-0.26194957,0.646781,-0.844653,-0.32871586,0.68453664,-0.4690985,-0.6231049,0.9130557,0.24969201,-0.6098329,-0.83426434,-0.38839334,-0.074410334,0.27416116,0.49916434,0.16480802,-0.90020853,-0.9203246,-0.97796524,0.43450624,-0.40371916,0,0
"Allegro in D Major, Op. 50 no. 26||Mauro Giuliani",0.66242886,-0.7153733,0.17136502,0.6998221,0.38118094,-0.6020759,-0.6958731,-0.09975998,-0.18785632,-0.5878362,0.45161083,0.46284094,0.54413503,-0.6548704,-0.21436,0.7584619,-0.49291638,-0.69111377,0.8223604,0.61469394,-0.4363203,-0.5782129,-0.38839334,0.23438679,0.6545,0.7883175,0.13621666,-0.7562028,-0.72479516,-0.55975705,0.44542682,0.5573723,2,2
"Allemande, BWV 996||J.S. Bach",0.64097875,-0.73852855,0.17136502,0.77369213,0.3800082,-0.3207507,-0.6919521,-0.0024705757,0.8012087,-0.4894104,0.75588536,0.5574374,0.50711364,-0.24156256,-0.34532228,0.72826713,-0.6050935,-0.78466386,0.7275258,0.61469394,-0.45803785,-0.5554896,-0.27799392,0.51182514,0.49878842,0.80802613,0.14485556,-0.71672636,-0.5499807,-0.45475313,0.44710445,0.53380716,4,4
Alman||Robert Johnson,0.60437846,-0.7228003,0.17136502,0.7143802,0.37891364,-0.62630093,-0.6958731,-0.12426344,0.23533958,-0.4894104,-0.0111515075,-0.033179022,0.63169277,-0.6126936,-0.291469,0.71767783,-0.51056457,-0.6853713,0.81100076,0.48682642,-0.44526407,-0.58994395,-0.27799392,0.625064,0.44253907,0.81187725,0.18137369,-0.79152143,-0.5499807,-0.66334206,0.43653414,0.45800087,3,2
"Andante, Op. 241 no. 5||Ferdinando Carulli",0.63067436,-0.700851,-0.011429021,0.6118702,0.36917898,-0.71863234,-0.6997529,-0.16729365,-0.54659665,-0.37670672,-0.39259085,-0.26194957,0.6852744,-0.8416378,-0.38674697,0.68453664,-0.45622495,-0.6231049,0.90660834,0.33402658,-0.57093215,-0.8074148,-0.38839334,0.75445825,0.075574,0.65897775,0.18487154,-0.8677526,-0.7884547,-0.9001414,0.43450624,-0.10884428,0,0
Andantino in C; Op. 35 no. 2||Fernando Sor,0.6390204,-0.71658593,0.08064605,0.66910625,0.34986156,-0.6982907,-0.6997529,-0.16729365,-0.2427844,-0.4459691,-0.39259085,-0.26194957,0.6607379,-0.8209471,-0.291469,0.68453664,-0.48303258,-0.6231049,0.88700074,0.39791498,-0.56535095,-0.46381345,-0.57750183,0.37799656,-0.628179,0.7791398,0.27521962,-0.88446504,-0.7884547,-0.94479567,0.43450624,0.10842611,0,0
"Andantino, Op. 44 no. 9||Fernando Sor",0.6023812,-0.7403801,0.17136502,0.6503554,0.32523265,-0.69987243,-0.69781816,-0.16729365,-0.71734405,-0.4894104,0.004227315,-0.011826143,0.63965446,-0.76817995,-0.291469,0.69700146,-0.48125446,-0.6231049,0.9131092,0.24969201,-0.4123428,-0.41913894,-0.4886661,-0.44117582,-0.46232262,0.61963576,0.30121696,-0.8840725,-0.863461,-0.9438387,0.45327896,-0.3161902,0,0
"Andantino, Op. 6 no. 8||Fernando Sor",0.5603094,-0.75322795,0.17136502,0.7086199,0.3235742,-0.6262074,-0.69781816,-0.16729365,0.59679025,-0.4894104,0.3592845,0.052219175,0.6329597,-0.67348605,-0.291469,0.71622944,-0.5091099,-0.65535,0.8975646,0.33402658,-0.42955533,-0.30416197,-0.4886661,0.22036403,-0.72000223,0.7688701,0.41533208,-0.796181,-0.7884547,-0.6776123,0.4377547,0.15786074,2,1
Be Thou With Me (Bist du bei  mir)||J.S. Bach,0.615307,-0.712329,0.08064605,0.66767645,0.3652273,-0.62877494,-0.69781816,-0.14019907,-0.05787276,-0.4894104,-0.12985769,0.1158378,0.6352965,-0.686158,-0.3387049,0.70508456,-0.46859783,-0.64058214,0.89518243,0.33402658,-0.4607034,-0.5685227,-0.27799392,0.7586771,-0.12617463,0.6429625,0.22291167,-0.81752104,-0.7884547,-0.7442923,0.43963808,-0.092234984,6,1
Branle||Jean-Baptiste Besard,0.5568113,-0.73652774,0.17136502,0.7319939,0.32389268,-0.5972648,-0.6958731,-0.1525279,0.149505,-0.4894104,0.5729522,0.052219175,0.60062325,-0.71768653,-0.291469,0.7428545,-0.5225936,-0.6853713,0.8491287,0.48682642,-0.40143237,-0.31994027,-0.4886661,0.8462358,-0.56063247,0.72816193,0.41529572,-0.83023727,-0.7884547,-0.78463775,0.43450624,0.26979923,1,1
Branle Gay||Jean Baptiste Besard,0.67042196,-0.68464845,-0.10331066,0.70888376,0.40372226,-0.66685134,-0.69781816,-0.16729365,-0.15242834,-0.2516256,0.30818835,-0.13910583,0.6209201,-0.7565214,-0.4341821,0.70508456,-0.43176666,-0.5517928,0.8848332,0.338119,-0.3398247,-0.32357976,-0.65448606,-0.89921904,0.6131325,0.5649419,0.13029109,-0.893882,-0.9385623,-0.96598434,0.43450624,-0.2545678,0,0
Cancion de la Hilandera||Agustin Barrios Mangore,0.6551873,-0.6952812,0.08064605,0.64991117,0.31675434,0.057433125,-0.6899762,0.17266068,0.9354158,-0.37670672,0.26542747,0.23978597,0.57334876,-0.23438028,-0.291469,0.7428545,-0.5225936,-0.6853713,0.8491287,0.48682642,-0.4307844,-0.7006809,-0.27799392,-0.9986474,0.8363242,0.72816193,0.075622566,-0.44596568,-0.645773,0.020237513,0.6146261,0.26979923,4,3
"Canzonetta from the String Quartet, Op. 12||Felix Mendelssohn",0.55045515,-0.7509556,0.25926822,0.76681614,0.3460752,-0.18759717,-0.68798995,0.12366768,0.8151132,-0.5878362,0.7371518,0.6000345,0.5029956,-0.10251886,-0.3008693,0.76014465,-0.58297706,-0.78466386,0.77071285,0.61469394,-0.45735803,-0.48156506,-0.27799392,0.61019874,-0.076730646,0.875444,0.26895005,-0.6273716,-0.645773,-0.25737658,0.4479099,0.65272224,4,5
Choros No. 1||Heitor Villa-Lobos,0.27317905,-0.76010656,0.25926822,0.7238092,0.3074836,-0.5072131,-0.6958731,-0.09162156,0.73903817,-0.4894104,0.6353627,0.41101116,0.5233621,-0.42601353,-0.31021148,0.7419627,-0.61882424,-0.78466386,0.81240714,0.61469394,-0.49592075,-0.5012066,-0.38839334,0.69972557,-0.27133986,0.97010094,0.41613126,0.045949087,-0.72479516,0.41402835,0.46099952,0.82297,4,5
Cinco Piezas para guitarra: I. Campero||Astor Piazzolla,0.63280666,-0.7654496,0.34307608,0.79881614,0.37740082,0.25839487,-0.6859934,0.34845078,0.90648043,-0.5878362,0.9422997,0.63948053,0.45145953,0.06368138,-0.21436,0.81562006,-0.5614649,-0.73900485,0.83272976,0.5212301,-0.4957842,-0.6387996,-0.27799392,0.67708284,0.50683767,0.6482034,0.17266819,-0.10484177,-0.7386973,0.32298595,0.4444299,0.23841098,5,6
