piece_id,barre_ratio,avg_chord_stretch,max_chord_stretch,avg_position_shift,open_string_ratio,p90_chord_stretch,shift_rate,max_position_shift,std_position_shift,fret_entropy,max_avg_chord_stretch_window,avg_stretch_velocity_beats,avg_position_shift_speed_beats,max_position_shift_speed_beats,arpeggio_density,avg_string_jump,max_string_jump,string_entropy,chord_ratio,polyphonic_arpeggio_intensity_beats,total_notes,tempo_bpm,log_total_notes,repetition_ratio,max_note_density_window,true_label,predicted_label
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 24. Preludi||Mauro Giuliani",-0.87053084,-0.39164045,-0.5936891,-0.7663637,-0.45517775,0.67167926,-0.29631048,-0.4361904,-0.3409615,0.099653326,-0.9587433,0.2834808,-0.36277562,0.8168403,0.8947331,-0.7757523,0.87477016,0.8082284,-0.62086916,-0.692171,-0.66479987,0.69385326,0.73681235,-0.8710142,-0.40423384,4,2
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 3. Cadenze||Mauro Giuliani",-0.87053084,0.7848172,-0.5936891,-0.71908224,0.82562584,-0.25081655,-0.8032941,-0.36400443,-0.030465515,-0.7121639,-0.96043336,-0.95382184,-0.40428135,0.5855606,0.938882,-0.79391074,0.638808,-0.7372719,-0.62482893,-0.87264955,-0.84285015,0.69385326,-0.10802658,-0.79824066,-0.26859137,0,0
"Ecossaise, Op. 33 no. 11||Mauro Giuliani",-0.87053084,-0.15340917,-0.64656997,-0.7288129,-0.85190094,0.20597889,0.15742321,-0.35985148,-0.057072688,-0.812328,-0.9587433,0.106893174,-0.7339739,0.46270928,0.8915809,-0.3618284,0.42821875,0.49656188,-0.934934,-0.69424796,-0.9083323,0.46727547,-0.93446195,-0.8285333,-0.47032568,0,0
Estilo (Chinita)||Agustin Barrios Mandore,-0.87053084,0.6486367,-0.5936891,-0.7020785,0.6591562,0.20597889,-0.08031958,-0.37944874,-0.106218204,0.5357513,-0.9591723,-0.43605572,-0.750514,0.70392555,0.5227606,0.47251186,0.638808,0.43313068,-0.98190737,-0.80546266,-0.5458336,0.46727547,0.8481101,-0.95939296,-0.38263276,2,4
Estudios Sencillos: V||Leo Brouwer,-0.87053084,0.95239264,-0.47093278,-0.7863225,-0.4758243,-0.8295803,0.9194269,-0.37020686,-0.19944906,-0.29868236,-0.96205556,-0.9433979,-0.41966575,0.5390611,0.89559627,-0.89398897,0.7835889,0.49996218,-0.88874906,-0.7560488,-0.8774597,0.4807948,-0.5784734,-0.8862408,-0.4085015,0,0
Estudios Sencillos: XI||Leo Brouwer,-0.87053084,-0.037281528,-0.64656997,-0.8070763,-0.71481526,0.20597889,0.9151566,-0.4361904,-0.34334695,-0.006209145,-0.9587433,-0.051291328,-0.21374863,0.8168403,0.85263425,-0.7247626,0.87477016,0.89229184,-0.6151517,-0.5617574,-0.83055973,0.5326026,0.02820429,-0.8812309,-0.44199362,2,2
Estudios Sencillos: XIII||Leo Brouwer,-0.8811703,0.2062752,-0.5936891,-0.81223845,-0.28504518,0.5877495,0.9936629,-0.39669985,-0.22425713,-0.33930978,-0.9587433,-0.21981362,-0.47576725,0.7366395,0.6437375,0.34780964,0.87477016,0.37488672,-0.9791062,-0.7957981,-0.52550036,0.85946923,0.859337,-0.91881174,-0.4085015,2,4
Estudios Sencillos: XVII||Leo Brouwer,-0.87053084,-0.2786179,-0.64656997,-0.7969541,-0.29145586,0.20597889,0.3363309,-0.4361904,-0.28224903,0.41101456,-0.9587433,0.14944084,0.005338946,0.8168403,0.86934274,-0.6314495,0.87477016,0.08978637,-0.5761863,-0.5950236,-0.67559916,0.36661756,0.7201901,-0.8189774,-0.39132527,4,3
"Goldberg Variations, BWV 988: Variatio 2||J.S. Bach",-0.87053084,0.30147302,-0.47093278,-0.80793786,0.10311586,-0.25081655,0.90553606,-0.38861558,-0.18950102,0.8593761,-0.9592197,-0.5328736,0.18144868,0.7929007,0.5423464,0.32182896,0.638808,0.97813696,-0.98073226,-0.9300617,-0.7107539,0.35904622,0.6522075,-0.84157544,-0.26859137,6,4
Lesson 15: Waltz||Dionisio Aguado,-0.87053084,0.56973666,-0.5936891,-0.75129974,-0.25923827,-0.25081655,0.061819658,-0.3653856,-0.0766981,-0.008864409,-0.95861036,-0.79344475,-0.07054048,0.90286523,0.6863528,0.090696454,0.638808,0.8229226,-0.929314,-0.8956891,-0.8971278,0.43251222,-0.8340323,-0.83299655,-0.37826085,0,1
Lesson 23||Dionisio Aguado,-0.87053084,0.02136351,-0.64656997,-0.82640535,-0.5338274,0.20597889,0.9699856,-0.39669985,-0.32792294,0.14822786,-0.95698255,-0.61615497,0.9628487,0.98025864,0.29289612,0.07340908,0.638808,0.9538814,-0.9714422,-0.9802623,-0.89068294,0.43251222,-0.75832915,-0.9566033,-0.20590523,1,2
Packington's Pound||Anonymous,-0.87053084,-0.5261773,-0.73589134,-0.73184246,-0.921506,0.81423664,0.009602132,-0.35985148,-0.05626789,-0.85896707,-0.9551484,0.37381825,-0.80088717,0.46270928,0.65435505,0.3506579,0.42821875,0.8452434,-0.94349676,-0.6437656,-0.8538378,0.64585596,-0.2461228,-0.86685854,-0.4899902,0,1
Twenty-one Lessons: 14||Dionisio Aguado,-0.87053084,0.40198037,-0.64656997,-0.66339135,-0.32486117,0.20597889,-0.60964435,-0.35985148,-0.046394844,-0.75067884,-0.9587433,-0.9988726,-0.41187513,0.7366395,0.781457,0.33601406,0.638808,0.90558964,-0.99350727,-0.99977237,-0.8650141,0.46727547,-0.39982522,-0.96821207,0.12778571,0,1
Twenty-one Lessons: 19||Dionisio Aguado,-0.87053084,-0.5261773,-0.73589134,-0.96140206,-0.76220477,0.81423664,0.92541826,-0.4361904,-0.838798,-0.6729378,-0.9551484,0.37381825,0.9838388,0.95587826,0.9105748,-0.70511615,0.638808,-0.9905192,-0.5126702,-0.62910706,-0.8985104,0.64585596,-0.848758,-0.86239606,-0.44199362,0,1
Cadiz from Suite Espanola||Isaac Albeniz,-0.87652487,0.05937073,-0.5936891,-0.7771417,0.12062557,0.20597889,0.44831726,-0.3977061,-0.1833682,0.8513395,-0.96043336,-0.1496353,-0.44477037,0.83826226,0.74398154,-0.28535745,0.7835889,0.9202201,-0.9520828,-0.8451448,0.29473788,0.5326026,0.976854,-0.8336129,-0.30146268,7,5
Estudio 20||Fernando Sor,-0.8757803,0.39843324,-0.53512996,-0.7656621,0.37644514,-0.25081655,0.43733975,-0.37637642,-0.10287549,0.8406962,-0.96043336,-0.5534388,-0.21794601,0.90286523,0.6324035,0.59219253,0.638808,0.47573844,-0.98374873,-0.9761487,0.43780658,0.39641368,0.9819742,-0.84583426,-0.18130568,4,5
"Gran Sonata Eroica, Op. 150||Mauro Giuliani",-0.8767213,0.36740923,-0.53512996,-0.8562052,-0.32458553,-0.25081655,0.8901155,-0.4361904,-0.51938677,0.89544284,-0.9605986,-0.41200483,0.68518627,0.9986902,0.7161092,-0.03022468,0.87477016,0.914007,-0.84399587,-0.8361461,0.99994946,0.59214556,0.99955344,-0.9052609,-0.16145976,6,6
La donna e mobile from 'Rigoletto'||Giuseppe Verdi,-0.8776467,-0.12996434,-0.5936891,-0.74452573,-0.29988804,0.20597889,0.5979372,-0.37637642,-0.1161611,0.36774603,-0.96043336,-0.17894444,0.36739773,0.9146983,0.66886646,0.48929352,0.42821875,0.4354612,-0.9843178,-0.9793688,-0.83000606,0.35904622,0.033880137,-0.92381436,-0.18624485,3,3
Lagrima||Francisco Tarrega,-0.87053084,0.26565522,-0.64656997,-0.87469405,-0.58756834,0.20597889,0.99053174,-0.39669985,-0.27487066,0.6076389,-0.9573405,-0.293508,-0.06916751,0.66792506,0.8547727,-0.5477242,0.7835889,0.55483854,-0.94346213,-0.7687964,-0.9054848,0.39641368,-0.9132633,-0.79415965,-0.4460975,1,1
Leyenda||Isaac Albeniz,-0.8729854,0.5944147,-0.53512996,-0.9487285,-0.4624472,-0.25081655,0.999316,-0.40771583,-0.46124178,0.4975101,-0.96205556,-0.52656645,0.99964523,0.92511123,0.91856223,-0.9699674,0.87477016,0.5830003,-0.638063,-0.7982189,0.99167216,0.57489645,0.9981212,-0.8374632,-0.16145976,6,6
Entre olivares||Joaquin Rodrigo,-0.8807943,0.40709382,-0.53512996,-0.7532694,-0.5922752,-0.25081655,0.2371614,-0.4361904,-0.25265238,0.6167453,-0.96015644,-0.40513945,-0.6710153,0.9424713,0.6792629,0.4107126,0.87477016,0.978104,-0.94482106,-0.9600995,0.98222595,0.7027873,0.9975039,-0.9427084,0.087370336,6,5
